"","t","POL","IMP","n","resp","income","comp","compc","compr","share","sharepop","yp"
"1213",3,"bau","kalkuhl","lca","share15","middle",0.0111348839355886,61.8604663088257,0.00350396855276203,0,2.20932630276608e-05,17654.4011104391
"1214",3,"bau","kalkuhl","lca","share50","middle",0.0111348839355886,61.8604663088257,0.00350396855276203,0,2.20932630276608e-05,17654.4011104391
"1215",3,"bau","kalkuhl","lca","share90","middle",0.0111348839355886,61.8604663088257,0.00350396855276203,0,2.20932630276608e-05,17654.4011104391
"1216",3,"bau","kalkuhl","lka","share15","low-middle",1.11095844960435,49.6185104780861,0.00307627850818318,0.000807416200011943,0.00274815643994069,16129.394769068
"1217",3,"bau","kalkuhl","lka","share50","low-middle",1.27601086702801,56.9902129087992,0.00353331378670772,0.000408495702201968,0.00274815643994069,16129.394769068
"1218",3,"bau","kalkuhl","lka","share90","low-middle",1.21727363497788,54.3668439025405,0.00337066856388202,0.000550459608063904,0.00274815643994069,16129.394769068
"1219",3,"bau","kalkuhl","lso","share15","low-middle",-0.0175103884695417,-7.35730607963939,-0.00301612956870398,7.42072040211095e-05,0.000292122033365737,2439.32029843161
"1220",3,"bau","kalkuhl","lso","share50","low-middle",-0.0089882272906228,-3.77656608849697,-0.00154820426449334,5.36097184890757e-05,0.000292122033365737,2439.32029843161
"1221",3,"bau","kalkuhl","lso","share90","low-middle",-0.0170198640310267,-7.15120337438098,-0.00293163771029944,7.30216397242953e-05,0.000292122033365737,2439.32029843161
"1222",3,"bau","kalkuhl","ltu","share15","high",-0.103440870071368,-38.4538550451184,-0.000818438960213701,0.000366640140264399,0.000330171541913375,46984.3896911723
"1223",3,"bau","kalkuhl","ltu","share50","high",-0.271688134010857,-100.999306323739,-0.00214963537863545,0.000773282365404463,0.000330171541913375,46984.3896911723
"1224",3,"bau","kalkuhl","ltu","share90","high",-0.165803214958887,-61.6368828843448,-0.00131185875328983,0.000517365697971736,0.000330171541913375,46984.3896911723
"1225",3,"bau","kalkuhl","lux","share15","high",-0.00721651026024052,-10.7709108361799,-8.47233573171062e-05,0.000256244152469947,8.22360346029595e-05,127130.359056311
"1226",3,"bau","kalkuhl","lux","share50","high",-0.185193600695528,-276.408359247056,-0.0021742120552387,0.000686402708299949,8.22360346029595e-05,127130.359056311
"1227",3,"bau","kalkuhl","lux","share90","high",-0.0418423288581608,-62.4512371017326,-0.000491237793752083,0.000339932407436272,8.22360346029595e-05,127130.359056311
"1228",3,"bau","kalkuhl","lva","share15","high",-0.0573365047558582,-31.8536137532546,-0.000798028150527425,0.000204895523622807,0.000220932630276608,39915.4011449373
"1229",3,"bau","kalkuhl","lva","share50","high",-0.155508247721443,-86.3934709563572,-0.00216441444851457,0.00044216996762067,0.000220932630276608,39915.4011449373
"1230",3,"bau","kalkuhl","lva","share90","high",-0.095899770011047,-53.2776500061372,-0.00133476423831192,0.000298100320092344,0.000220932630276608,39915.4011449373
"1231",3,"bau","kalkuhl","mar","share15","low-middle",0.561962541749185,14.5699388578995,0.00152661330447158,0.00179898412309901,0.00473409530542709,9543.9616667973
"1232",3,"bau","kalkuhl","mar","share50","low-middle",0.849147334944223,22.0157463039726,0.00230677228939044,0.00110487795699088,0.00473409530542709,9543.9616667973
"1233",3,"bau","kalkuhl","mar","share90","low-middle",0.641303156716196,16.6269939516774,0.00174214802323875,0.0016072232382042,0.00473409530542709,9543.9616667973
"1234",3,"bau","kalkuhl","mda","share15","middle",-0.0133606450142662,-4.77165893366649,-0.000242587498329344,0.000283094661769932,0.000343672980430279,19669.8468244573
"1235",3,"bau","kalkuhl","mda","share50","middle",-0.195054583361119,-69.6623512003998,-0.00354158076685083,0.000722236586897459,0.000343672980430279,19669.8468244573
"1236",3,"bau","kalkuhl","mda","share90","middle",-0.0592368147523963,-21.156005268713,-0.00107555516102992,0.000393974252358258,0.000343672980430279,19669.8468244573
"1237",3,"bau","kalkuhl","mdg","share15","low",0.148280868549461,4.66292039463714,0.00273461641347445,0.000109849473003391,0.00390314313488674,1705.14605692456
"1238",3,"bau","kalkuhl","mdg","share50","low",0.167274881638029,5.26021640371162,0.00308490664617849,6.39422316859158e-05,0.00390314313488674,1705.14605692456
